Na,K,Ca,Mg,Ph,Moisture,Cost,Demand,Crop
21,132,31,45,4,28,4398,2,Soybeans
23,122,38,41,5,24,2703,5,Wheat
21,121,37,41,4,12,4908,3,Bluegrass
20,137,35,37,6,13,4315,1,Fescue
33,122,30,50,6,13,3106,2,Watermelon
16,133,35,28,6,27,4317,1,Barley
35,146,40,49,4,26,4313,4,Soybeans
37,124,40,47,5,10,4070,2,Corn
30,148,30,42,6,10,3781,2,Bluegrass
37,123,31,27,6,21,2545,2,Rice
21,145,39,28,6,26,3660,3,Barley
13,133,31,26,4,10,4240,5,Barley
17,141,31,43,6,10,3767,3,Fescue
13,126,33,50,5,24,4223,3,Barley
10,140,38,43,4,15,3014,4,Rice
35,138,37,36,4,28,4991,5,Bluegrass
13,137,35,30,4,25,3209,3,Peanuts
38,132,39,46,6,17,3575,2,Corn
28,124,37,40,4,15,3306,5,Peanuts
20,140,30,45,4,25,2991,2,Barley
33,124,39,25,6,29,2646,4,Fescue
29,147,32,38,5,22,4049,1,Bluegrass
25,128,35,47,4,12,2744,4,Rice
26,128,38,38,6,24,4521,5,Peanuts
19,133,31,33,4,14,3570,1,Barley
24,140,30,32,4,16,4617,3,Wheat
13,133,38,38,5,18,2751,3,Watermelon
22,141,35,33,6,26,4961,1,Rice
16,147,35,27,6,16,2795,2,Soybeans
15,124,39,48,4,18,3672,5,Cotton
35,136,40,41,4,19,2999,1,Wheat
40,144,39,33,5,10,2677,5,Corn
22,125,40,38,4,24,4527,3,Cotton
12,129,31,38,6,10,3813,5,Grain Sorghum
29,143,32,49,5,14,3978,4,Fescue
21,130,34,29,6,28,3112,1,Corn
20,150,34,49,4,25,3078,2,Cotton
40,122,35,30,5,11,4408,5,Grain Sorghum
31,133,38,33,4,18,3415,4,Cotton
39,124,40,47,5,23,4958,1,Corn
28,128,35,41,6,12,4537,1,Corn
39,141,39,42,4,30,3484,2,Barley
31,138,34,50,4,10,2515,1,Peanuts
40,143,36,25,5,16,2645,3,Rice
27,145,32,33,4,12,2606,2,Wheat
15,139,37,32,5,19,4917,4,Cotton
26,145,35,49,6,16,4675,1,Rice
18,121,40,46,6,26,2503,2,Wheat
34,126,38,45,5,13,4356,5,Wheat
11,140,32,39,6,20,3978,2,Fescue
28,121,38,28,5,21,2623,1,Bluegrass
24,125,33,39,6,15,4579,4,Fescue
38,150,33,34,6,30,3704,4,Bluegrass
28,142,40,37,5,25,4448,3,Watermelon
36,137,34,34,4,11,3284,5,Wheat
20,130,39,30,6,25,3120,3,Peanuts
30,121,30,32,5,29,3335,3,Cotton
12,135,35,42,4,24,3393,3,Fescue
28,121,38,28,4,23,2860,3,Barley
11,126,31,42,5,10,4165,1,Corn
15,146,30,35,5,18,2894,2,Cotton
16,122,38,46,6,11,3021,1,Rice
15,149,36,26,5,17,3441,1,Peanuts
11,133,33,26,6,17,3623,5,Cotton
31,122,34,43,5,29,3756,1,Rice
